time,x,y,vx,vy
39.000,365.000,-67.285,138.380,0.000
32.660,378.584,-59.559,133.320,0.100
27.080,391.667,-52.067,128.346,0.200
22.239,404.256,-44.810,123.459,0.300
18.111,416.362,-37.786,118.658,0.400
14.674,427.991,-30.995,113.944,0.500
11.904,439.153,-24.436,109.315,0.600
9.779,449.857,-18.110,104.773,0.700
8.274,460.111,-12.016,100.316,0.800
7.368,469.923,-6.153,95.944,0.900
7.036,479.302,-0.522,91.658,1.000
7.256,488.257,4.880,87.458,1.100
8.004,496.797,10.051,83.342,1.200
9.258,504.929,14.992,79.312,1.300
10.995,512.662,19.704,75.367,1.400
13.191,520.005,24.186,71.506,1.500
15.824,526.966,28.441,67.729,1.600
18.872,533.554,32.467,64.038,1.700
22.310,539.776,36.265,60.430,1.800
26.117,545.642,39.836,56.906,1.900
29.409,550.079,42.526,54.151,4.710
33.822,555.325,45.690,50.778,4.810
38.540,560.238,48.632,47.488,4.910
43.541,564.825,51.357,44.278,5.010
48.804,569.096,53.871,41.147,5.110
54.308,573.057,56.178,38.093,5.210
60.033,576.717,58.283,35.115,5.310
65.958,580.083,60.191,32.212,5.410
72.065,583.162,61.907,29.381,5.510
78.333,585.961,63.436,26.621,5.610
84.746,588.488,64.783,23.930,5.710
91.284,590.750,65.953,21.306,5.810
97.930,592.752,66.951,18.749,5.910
104.668,594.502,67.781,16.257,6.010
111.481,596.005,68.450,13.827,6.110
118.353,597.269,68.961,11.458,6.210
125.268,598.299,69.320,9.149,6.310
132.212,599.101,69.531,6.898,6.410
139.170,599.680,69.600,4.704,6.510
146.128,600.043,69.531,2.564,6.610
153.072,600.195,69.330,0.477,6.710
159.989,600.141,69.002,-1.558,6.810
166.868,599.885,68.550,-3.543,6.910
173.696,599.433,67.982,-5.480,7.010
180.461,598.791,67.300,-7.370,7.110
187.152,597.961,66.511,-9.216,7.210
193.759,596.949,65.618,-11.017,7.310
200.272,595.759,64.628,-12.777,7.410
206.682,594.395,63.545,-14.497,7.510
212.978,592.861,62.374,-16.178,7.610
219.154,591.160,61.120,-17.822,7.710
225.200,589.297,59.788,-19.431,7.810
231.109,587.275,58.383,-21.006,7.910
236.874,585.097,56.910,-22.548,8.010
242.489,582.767,55.374,-24.061,8.110
247.947,580.286,53.779,-25.544,8.210
253.243,577.659,52.131,-27.000,8.310
258.372,574.887,50.435,-28.430,8.410
263.329,571.974,48.695,-29.837,8.510
268.109,568.920,46.917,-31.220,8.610
272.711,565.730,45.105,-32.583,8.710
277.130,562.404,43.265,-33.927,8.810
281.363,558.945,41.401,-35.253,8.910
285.409,555.354,39.519,-36.563,9.010
289.266,551.633,37.623,-37.859,9.110
292.933,547.783,35.718,-39.142,9.210
296.410,543.805,33.809,-40.414,9.310
299.695,539.700,31.902,-41.676,9.410
300.014,539.282,31.711,-41.802,1.897
303.090,535.039,29.811,-43.056,1.997
305.976,530.671,27.922,-44.300,2.097
308.675,526.180,26.051,-45.535,2.197
311.188,521.565,24.203,-46.758,2.297
313.516,516.828,22.382,-47.970,2.397
315.665,511.971,20.595,-49.168,2.497
317.637,506.995,18.846,-50.352,2.597
319.436,501.901,17.141,-51.521,2.697
321.067,496.692,15.485,-52.673,2.797
321.801,494.114,14.698,-53.228,3.333
323.192,488.735,13.125,-54.353,3.433
324.428,483.244,11.611,-55.459,3.533
325.516,477.644,10.160,-56.542,3.633
326.462,471.936,8.774,-57.601,3.733
327.273,466.124,7.456,-58.633,3.833
327.956,460.211,6.209,-59.636,3.933
328.518,454.198,5.035,-60.608,4.033
328.966,448.090,3.937,-61.547,4.133
329.308,441.890,2.918,-62.451,4.233
329.552,435.601,1.981,-63.317,4.333
329.707,429.228,1.127,-64.144,4.433
329.718,428.521,1.039,-64.232,6.171
329.784,422.059,0.281,-65.012,6.271
329.778,415.520,-0.389,-65.748,6.371
329.709,408.910,-0.974,-66.439,6.471
329.586,402.234,-1.473,-67.083,6.571
329.417,395.495,-1.888,-67.677,6.671
329.211,388.700,-2.219,-68.221,6.771
328.976,381.853,-2.466,-68.712,6.871
328.720,374.960,-2.630,-69.148,6.971
328.453,368.025,-2.712,-69.529,7.071
328.181,361.056,-2.712,-69.851,7.171
327.913,354.057,-2.632,-70.114,7.271
327.657,347.035,-2.471,-70.316,7.371
327.421,339.996,-2.231,-70.454,7.471
327.214,332.946,-1.911,-70.528,7.571
327.042,325.893,-1.513,-70.534,7.671
326.981,322.880,-1.319,-70.517,6.364
326.874,315.832,-0.810,-70.425,6.464
326.822,308.797,-0.227,-70.266,6.564
326.831,301.781,0.427,-70.037,6.664
326.909,294.792,1.150,-69.740,6.764
327.063,287.835,1.938,-69.374,6.864
327.299,280.919,2.789,-68.941,6.964
327.623,274.049,3.698,-68.440,7.064
328.041,267.233,4.663,-67.871,7.164
328.557,260.477,5.682,-67.235,7.264
329.179,253.789,6.750,-66.532,7.364
329.909,247.173,7.865,-65.763,7.464
330.753,240.638,9.024,-64.926,7.564
331.441,235.936,9.893,-64.276,9.295
332.492,229.555,11.120,-63.325,9.395
333.667,223.273,12.382,-62.311,9.495
334.969,217.095,13.674,-61.235,9.595
336.402,211.028,14.992,-60.099,9.695
337.968,205.077,16.332,-58.906,9.795
339.669,199.248,17.691,-57.658,9.895
341.507,193.547,19.064,-56.357,9.995
343.482,187.979,20.447,-55.005,10.095
345.597,182.548,21.837,-53.604,10.195
347.850,177.259,23.228,-52.157,10.295
350.242,172.118,24.618,-50.666,10.395
352.773,167.127,26.002,-49.133,10.495
355.442,162.292,27.376,-47.560,10.595
358.248,157.617,28.736,-45.950,10.695
361.189,153.104,30.078,-44.304,10.795
362.685,150.943,30.730,-43.481,29.470
365.824,146.680,32.039,-41.787,29.570
369.092,142.587,33.320,-40.061,29.670
372.487,138.668,34.574,-38.306,29.770
376.006,134.927,35.797,-36.523,29.870
379.645,131.365,36.986,-34.713,29.970
383.402,127.985,38.141,-32.878,30.070
387.272,124.790,39.258,-31.018,30.170
391.252,121.782,40.336,-29.136,30.270
395.338,118.963,41.372,-27.233,30.370
399.525,116.336,42.364,-25.310,30.470
403.809,113.902,43.309,-23.368,30.570
408.185,111.663,44.206,-21.409,30.670
412.649,109.621,45.052,-19.434,30.770
417.194,107.777,45.845,-17.445,30.870
421.816,106.132,46.582,-15.442,30.970
426.508,104.689,47.263,-13.428,31.070
431.266,103.447,47.883,-11.403,31.170
436.083,102.408,48.442,-9.369,31.270
440.952,101.574,48.936,-7.327,31.370
445.868,100.943,49.364,-5.278,31.470
450.823,100.518,49.723,-3.225,31.570
455.810,100.298,50.011,-1.168,31.670
460.823,100.285,50.226,0.892,31.770
465.853,100.477,50.365,2.952,31.870
470.893,100.875,50.427,5.012,31.970
475.936,101.479,50.410,7.071,32.070
480.972,102.289,50.310,9.126,32.170
485.995,103.304,50.125,11.177,32.270
490.994,104.524,49.854,13.222,32.370
495.963,105.948,49.495,15.260,32.470
500.890,107.576,49.044,17.290,32.570
505.768,109.406,48.500,19.310,32.670
510.587,111.438,47.860,21.318,32.770
515.337,113.669,47.123,23.314,32.870
520.008,116.100,46.285,25.297,32.970
524.591,118.728,45.346,27.264,33.070
529.074,121.552,44.302,29.214,33.170
533.448,124.570,43.151,31.147,33.270
537.701,127.781,41.891,33.060,33.370
541.822,131.182,40.521,34.952,33.470
545.801,134.771,39.036,36.823,33.570
549.626,138.545,37.436,38.670,33.670
550.000,138.934,37.270,38.854,11.085
553.641,142.910,35.540,40.674,11.185
557.104,147.068,33.693,42.469,11.285
560.376,151.403,31.727,44.239,11.385
563.445,155.915,29.642,45.985,11.485
566.301,160.600,27.439,47.705,11.585
568.929,165.455,25.117,49.400,11.685
571.320,170.479,22.677,51.070,11.785
573.461,175.668,20.117,52.715,11.885
575.339,181.021,17.438,54.335,11.985
576.944,186.534,14.640,55.929,12.085
578.264,192.206,11.723,57.498,12.185
579.285,198.033,8.686,59.042,12.285
579.997,204.013,5.529,60.560,12.385
580.351,209.255,2.731,61.840,5.663
580.456,215.512,-0.648,63.311,5.763
580.217,221.916,-4.147,64.756,5.863
579.623,228.463,-7.766,66.176,5.963
578.660,235.150,-11.505,67.570,6.063
577.318,241.976,-15.363,68.939,6.163
575.583,248.937,-19.342,70.282,6.263
