time,x,y,vx,vy
26.000,575.000,34.997,-20.841,0.000
29.496,572.948,34.914,-20.200,0.100
32.983,570.959,34.824,-19.578,0.200
36.460,569.032,34.728,-18.976,0.300
39.928,567.163,34.625,-18.394,0.400
43.385,565.352,34.515,-17.831,0.500
46.831,563.597,34.398,-17.287,0.600
50.264,561.894,34.275,-16.762,0.700
53.685,560.244,34.145,-16.257,0.800
57.093,558.642,34.008,-15.771,0.900
60.487,557.089,33.865,-15.304,1.000
63.866,555.581,33.716,-14.856,1.100
67.230,554.117,33.560,-14.427,1.200
70.578,552.695,33.397,-14.017,1.300
73.909,551.313,33.229,-13.626,1.400
77.223,549.969,33.053,-13.254,1.500
80.519,548.662,32.872,-12.901,1.600
83.797,547.388,32.684,-12.567,1.700
87.056,546.148,32.490,-12.251,1.800
90.295,544.937,32.290,-11.954,1.900
93.514,543.756,32.084,-11.676,2.000
96.712,542.602,31.872,-11.416,2.100
99.888,541.472,31.653,-11.175,2.200
103.042,540.366,31.429,-10.952,2.300
106.174,539.281,31.198,-10.748,2.400
109.282,538.216,30.962,-10.562,2.500
112.366,537.168,30.720,-10.395,2.600
115.425,536.136,30.472,-10.246,2.700
118.460,535.118,30.218,-10.115,2.800
121.469,534.113,29.958,-10.002,2.900
124.451,533.117,29.692,-9.908,3.000
124.451,533.117,29.692,-9.908,3.000
127.407,532.130,29.421,-9.831,3.100
130.335,531.150,29.144,-9.772,3.200
133.236,530.175,28.863,-9.730,3.300
136.108,529.204,28.576,-9.704,3.400
138.951,528.234,28.286,-9.695,3.500
141.765,527.264,27.992,-9.700,3.600
144.549,526.293,27.694,-9.720,3.700
147.303,525.320,27.393,-9.755,3.800
150.028,524.342,27.089,-9.803,3.900
152.721,523.359,26.783,-9.864,4.000
155.384,522.369,26.474,-9.937,4.100
158.016,521.371,26.164,-10.022,4.200
160.617,520.364,25.853,-10.119,4.300
163.186,519.347,25.540,-10.226,4.400
165.725,518.318,25.227,-10.344,4.500
168.232,517.278,24.914,-10.471,4.600
170.708,516.224,24.601,-10.608,4.700
173.152,515.156,24.289,-10.753,4.800
175.565,514.073,23.977,-10.905,4.900
177.948,512.975,23.667,-11.066,5.000
180.299,511.860,23.358,-11.233,5.100
182.619,510.728,23.051,-11.406,5.200
184.909,509.578,22.746,-11.585,5.300
187.169,508.411,22.444,-11.769,5.400
189.398,507.224,22.146,-11.958,5.500
191.598,506.019,21.850,-12.151,5.600
193.768,504.794,21.559,-12.347,5.700
195.910,503.549,21.271,-12.546,5.800
198.023,502.285,20.988,-12.747,5.900
200.108,501.000,20.710,-12.950,6.000
200.108,501.000,20.710,-12.950,6.000
202.165,499.695,20.437,-13.154,6.100
204.195,498.369,20.170,-13.360,6.200
206.199,497.023,19.908,-13.565,6.300
208.177,495.656,19.652,-13.771,6.400
210.130,494.269,19.402,-13.976,6.500
212.058,492.861,19.158,-14.180,6.600
213.961,491.433,18.920,-14.383,6.700
215.842,489.984,18.688,-14.585,6.800
217.699,488.516,18.463,-14.784,6.900
219.535,487.028,18.245,-14.981,7.000
221.348,485.520,18.033,-15.176,7.100
223.141,483.993,17.828,-15.367,7.200
224.914,482.447,17.631,-15.554,7.300
226.668,480.882,17.441,-15.738,7.400
228.403,479.299,17.258,-15.917,7.500
230.120,477.699,17.083,-16.092,7.600
231.820,476.081,16.916,-16.261,7.700
233.503,474.447,16.756,-16.425,7.800
235.171,472.796,16.605,-16.583,7.900
236.824,471.130,16.462,-16.734,8.000
238.464,469.450,16.328,-16.879,8.100
240.090,467.755,16.202,-17.016,8.200
241.705,466.047,16.084,-17.146,8.300
